Percentage, Seed, F-1 Score,,
100.0%,0,0.7303672738,,0.7249561601
100.0%,7,0.7195450464,,
50.0%,0,0.713090257,,0.6931295423
50.0%,7,0.662451069,,
50.0%,2,0.7038473009,,
20.0%,0,0.6491336634,,0.6218816494
20.0%,7,0.6127377,,
20.0%,2,0.6037735849,,
10.0%,0,0.5930042498,,0.5633329531
10.0%,7,0.549200492,,
10.0%,2,0.5477941176,,
5.0%,0,0.4814569536,,0.4918287765
5.0%,7,0.4747033104,,
5.0%,2,0.5193260654,,
5.0%,3,0.4823712949,,
2.0%,0,0.2540336423,,0.348272267
2.0%,7,0.371040724,,
2.0%,2,0.4186327889,,
2.0%,3,0.3493819128,,
1.0%,0,0.2593783494,,0.2547666409
1.0%,7,0.2290640394,,
1.0%,2,0.2566248257,,
1.0%,3,0.2739993492,,
0.5%,0,0.2835423793,,0.240580657
0.5%,7,0.1549766199,,
0.5%,2,0.2125360231,,
0.5%,3,0.3112676056,,
